"fullname","motivation","surname","firstname","share","born","year","age","born_city","died","is_alive","category","born_country","gender","born_country_code","affiliation_city","affiliation","affiliation_country"
"Robert C. Richardson","for their discovery of superfluidity in helium-3","Richardson","Robert C.","3","1937-06-26","1996","58","Washington, DC","2013-02-19","false","physics","USA","male","US","Ithaca, NY","Cornell University","USA"
"David M. Lee","for their discovery of superfluidity in helium-3","Lee","David M.","3","1931-01-20","1996","64","Rye, NY","0000-00-00","true","physics","USA","male","US","Ithaca, NY","Cornell University","USA"
"Jens C. Skou","for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase","Skou","Jens C.","2","1918-10-08","1997","78","Lemvig","0000-00-00","true","chemistry","Denmark","male","DK","Aarhus","Aarhus University","Denmark"
"John E. Walker","for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)","Walker","John E.","4","1941-01-07","1997","55","Halifax","0000-00-00","true","chemistry","United Kingdom","male","GB","Cambridge","MRC Laboratory of Molecular Biology","United Kingdom"
"Paul D. Boyer","for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)","Boyer","Paul D.","4","1918-07-31","1997","78","Provo, UT","0000-00-00","true","chemistry","USA","male","US","Los Angeles, CA","University of California","USA"
"Myron S. Scholes","for a new method to determine the value of derivatives","Scholes","Myron S.","2","1941-07-01","1997","55","Timmins, ON","0000-00-00","true","economics","Canada","male","CA","Greenwich, CT","Long Term Capital Management","USA"
"Robert C. Merton","for a new method to determine the value of derivatives","Merton","Robert C.","2","1944-07-31","1997","52","New York, NY","0000-00-00","true","economics","USA","male","US","Cambridge, MA","Harvard","USA"
"Dario Fo","who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden","Fo","Dario","1","1926-03-24","1997","70","Leggiuno-Sangiano","0000-00-00","true","literature","Italy","male","IT","","none",""
"Stanley B. Prusiner","for his discovery of Prions - a new biological principle of infection","Prusiner","Stanley B.","1","1942-05-28","1997","54","Des Moines, IA","0000-00-00","true","medicine","USA","male","US","San Francisco, CA","University of California","USA"
"Jody Williams","for their work for the banning and clearing of anti-personnel mines","Williams","Jody","2","1950-10-09","1997","46","Putney, VT","0000-00-00","true","peace","USA","female","US","","none",""
"Claude Cohen-Tannoudji","for development of methods to cool and trap atoms with laser light","Cohen-Tannoudji","Claude","3","1933-04-01","1997","63","Constantine","0000-00-00","true","physics","French Algeria (now Algeria)","male","DZ","Paris","École Normale Supérieure","France"
"Steven Chu","for development of methods to cool and trap atoms with laser light","Chu","Steven","3","1948-02-28","1997","48","St. Louis, MO","0000-00-00","true","physics","USA","male","US","Stanford, CA","Stanford","USA"
"William D. Phillips","for development of methods to cool and trap atoms with laser light","Phillips","William D.","3","1948-11-05","1997","48","Wilkes-Barre, PA","0000-00-00","true","physics","USA","male","US","Gaithersburg, MD","National Institute of Standards and Technology","USA"
"John A. Pople","for his development of computational methods in quantum chemistry","Pople","John A.","2","1925-10-31","1998","72","Burnham-on-Sea","2004-03-15","false","chemistry","United Kingdom","male","GB","Evanston, IL","Northwestern University","USA"
"Walter Kohn","for his development of the density-functional theory","Kohn","Walter","2","1923-03-09","1998","74","Vienna","2016-04-19","false","chemistry","Austria","male","AT","Santa Barbara, CA","University of California","USA"
"Amartya Sen","for his contributions to welfare economics","Sen","Amartya","1","1933-11-03","1998","64","Santiniketan","0000-00-00","true","economics","India","male","IN","Cambridge","Trinity College","United Kingdom"
"José Saramago","who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality","Saramago","José","1","1922-11-16","1998","75","Azinhaga","2010-06-18","false","literature","Portugal","male","PT","","none",""
"Robert F. Furchgott","for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system","Furchgott","Robert F.","3","1916-06-04","1998","81","Charleston, SC","2009-05-19","false","medicine","USA","male","US","Brooklyn, NY","SUNY Health Science Center","USA"
"Louis J. Ignarro","for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system","Ignarro","Louis J.","3","1941-05-31","1998","56","Brooklyn, NY","0000-00-00","true","medicine","USA","male","US","Los Angeles, CA","University of California","USA"
"Ferid Murad","for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system","Murad","Ferid","3","1936-09-14","1998","61","Whiting, IN","0000-00-00","true","medicine","USA","male","US","Houston, TX","University of Texas Medical School at Houston","USA"
"David Trimble","for their efforts to find a peaceful solution to the conflict in Northern Ireland","Trimble","David","2","1944-10-15","1998","53","Belfast","0000-00-00","true","peace","Northern Ireland","male","GB","","none",""
"John Hume","for their efforts to find a peaceful solution to the conflict in Northern Ireland","Hume","John","2","1937-01-18","1998","60","Londonderry","0000-00-00","true","peace","Northern Ireland","male","GB","","none",""
"Daniel C. Tsui","for their discovery of a new form of quantum fluid with fractionally charged excitations","Tsui","Daniel C.","3","1939-02-28","1998","58","Henan","0000-00-00","true","physics","China","male","CN","Princeton, NJ","Princeton University","USA"
"Robert B. Laughlin","for their discovery of a new form of quantum fluid with fractionally charged excitations","Laughlin","Robert B.","3","1950-11-01","1998","47","Visalia, CA","0000-00-00","true","physics","USA","male","US","Stanford, CA","Stanford","USA"
"Horst L. Störmer","for their discovery of a new form of quantum fluid with fractionally charged excitations","Störmer","Horst L.","3","1949-04-06","1998","48","Frankfurt-on-the-Main","0000-00-00","true","physics","West Germany (now Germany)","male","DE","New York, NY","Columbia","USA"
"Ahmed H. Zewail","for his studies of the transition states of chemical reactions using femtosecond spectroscopy","Zewail","Ahmed H.","1","1946-02-26","1999","52","Damanhur","0000-00-00","true","chemistry","Egypt","male","EG","Pasadena, CA","Caltech","USA"
"Robert A. Mundell","for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas","Mundell","Robert A.","1","1932-10-24","1999","66","Kingston, ON","0000-00-00","true","economics","Canada","male","CA","New York, NY","Columbia","USA"
"Günter Grass","whose frolicsome black fables portray the forgotten face of history","Grass","Günter","1","1927-10-16","1999","71","Danzig (now Gdansk)","2015-04-13","false","literature","Free City of Danzig (now Poland)","male","PL","","none",""
"Günter Blobel","for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell","Blobel","Günter","1","1936-05-21","1999","62","Waltersdorf (now Niegoslawice)","0000-00-00","true","medicine","Germany (now Poland)","male","PL","New York, NY","Rockefeller","USA"
"Gerardus 't Hooft","for elucidating the quantum structure of electroweak interactions in physics","'t Hooft","Gerardus","2","1946-07-05","1999","52","Den Helder","0000-00-00","true","physics","the Netherlands","male","NL","Utrecht","Utrecht University","the Netherlands"
"Martinus J.G. Veltman","for elucidating the quantum structure of electroweak interactions in physics","Veltman","Martinus J.G.","2","1931-06-27","1999","67","Waalwijk","0000-00-00","true","physics","the Netherlands","male","NL","Bilthoven","none","the Netherlands"
"Alan G. MacDiarmid","for the discovery and development of conductive polymers","MacDiarmid","Alan G.","3","1927-04-14","2000","72","Masterton","2007-02-07","false","chemistry","New Zealand","male","NZ","Philadelphia, PA","University of Pennsylvania","USA"
"Alan J. Heeger","for the discovery and development of conductive polymers","Heeger","Alan J.","3","1936-01-22","2000","63","Sioux City, IA","0000-00-00","true","chemistry","USA","male","US","Santa Barbara, CA","University of California","USA"
"Hideki Shirakawa","for the discovery and development of conductive polymers","Shirakawa","Hideki","3","1936-08-20","2000","63","Tokyo","0000-00-00","true","chemistry","Japan","male","JP","Tokyo","University of Tsukuba","Japan"
"Daniel L. McFadden","for his development of theory and methods for analyzing discrete choice","McFadden","Daniel L.","2","1937-07-29","2000","62","Raleigh, NC","0000-00-00","true","economics","USA","male","US","Berkeley, CA","University of California","USA"
"James J. Heckman","for his development of theory and methods for analyzing selective samples","Heckman","James J.","2","1944-04-19","2000","55","Chicago, IL","0000-00-00","true","economics","USA","male","US","Chicago, IL","University of Chicago","USA"
"Gao Xingjian","for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama","Xingjian","Gao","1","1940-01-04","2000","59","Ganzhou","0000-00-00","true","literature","China","male","CN","","none",""
"Paul Greengard","for their discoveries concerning signal transduction in the nervous system","Greengard","Paul","3","1925-12-11","2000","74","New York, NY","0000-00-00","true","medicine","USA","male","US","New York, NY","Rockefeller","USA"
"Arvid Carlsson","for their discoveries concerning signal transduction in the nervous system","Carlsson","Arvid","3","1923-01-25","2000","76","Uppsala","0000-00-00","true","medicine","Sweden","male","SE","Gothenburg","Göteborg University","Sweden"
"Eric R. Kandel","for their discoveries concerning signal transduction in the nervous system","Kandel","Eric R.","3","1929-11-07","2000","70","Vienna","0000-00-00","true","medicine","Austria","male","AT","New York, NY","Columbia","USA"
"Kim Dae-jung","for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular","Dae-jung","Kim","1","1925-12-03","2000","74","Mokpo","2009-08-18","false","peace","Korea (now South Korea)","male","KR","","none",""
"Zhores I. Alferov","for developing semiconductor heterostructures used in high-speed- and opto-electronics","Alferov","Zhores I.","4","1930-03-15","2000","69","Vitebsk, Belorussia","0000-00-00","true","physics","USSR (now Belarus)","male","BY","St. Petersburg","A.F. Ioffe Physico-Technical Institute","Russia"
"Jack S. Kilby","for his part in the invention of the integrated circuit","Kilby","Jack S.","2","1923-11-08","2000","76","Jefferson City, MO","2005-06-20","false","physics","USA","male","US","Dallas, TX","Texas Instruments","USA"
"Herbert Kroemer","for developing semiconductor heterostructures used in high-speed- and opto-electronics","Kroemer","Herbert","4","1928-08-25","2000","71","Weimar","0000-00-00","true","physics","Germany","male","DE","Santa Barbara, CA","University of California","USA"
"William S. Knowles","for their work on chirally catalysed hydrogenation reactions","Knowles","William S.","4","1917-06-01","2001","83","Taunton, MA","2012-06-13","false","chemistry","USA","male","US","St. Louis, MO","none","USA"
"K. Barry Sharpless","for his work on chirally catalysed oxidation reactions","Sharpless","K. Barry","2","1941-04-28","2001","59","Philadelphia, PA","0000-00-00","true","chemistry","USA","male","US","La Jolla, CA","The Scripps Research Institute","USA"
"Ryoji Noyori","for their work on chirally catalysed hydrogenation reactions","Noyori","Ryoji","4","1938-09-03","2001","62","Kobe","0000-00-00","true","chemistry","Japan","male","JP","Nagoya","Nagoya University","Japan"
"George A. Akerlof","for their analyses of markets with asymmetric information","Akerlof","George A.","3","1940-06-17","2001","60","New Haven, CT","0000-00-00","true","economics","USA","male","US","Berkeley, CA","University of California","USA"
"Joseph E. Stiglitz","for their analyses of markets with asymmetric information","Stiglitz","Joseph E.","3","1943-02-09","2001","57","Gary, IN","0000-00-00","true","economics","USA","male","US","New York, NY","Columbia","USA"
"Sir Vidiadhar Surajprasad Naipaul","for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories","Naipaul","Sir Vidiadhar Surajprasad","1","1932-08-17","2001","68","","0000-00-00","true","literature","Trinidad","male","TT","","none",""
"Tim Hunt","for their discoveries of key regulators of the cell cycle","Hunt","Tim","3","1943-02-19","2001","57","Neston","0000-00-00","true","medicine","United Kingdom","male","GB","London","Imperial Cancer Research Fund","United Kingdom"
"Leland H. Hartwell","for their discoveries of key regulators of the cell cycle","Hartwell","Leland H.","3","1939-10-30","2001","61","Los Angeles, CA","0000-00-00","true","medicine","USA","male","US","Seattle, WA","Fred Hutchinson Cancer Research Center","USA"
"Sir Paul M. Nurse","for their discoveries of key regulators of the cell cycle","Nurse","Sir Paul M.","3","1949-01-25","2001","51","Norwich","0000-00-00","true","medicine","United Kingdom","male","GB","London","Imperial Cancer Research Fund","United Kingdom"
"Kofi Annan","for their work for a better organized and more peaceful world","Annan","Kofi","2","1938-04-08","2001","62","Kumasi","0000-00-00","true","peace","Gold Coast (now Ghana)","male","GH","","none",""
"Wolfgang Ketterle","for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates","Ketterle","Wolfgang","3","1957-10-21","2001","43","Heidelberg","0000-00-00","true","physics","West Germany (now Germany)","male","DE","Cambridge, MA","MIT","USA"
"Eric A. Cornell","for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates","Cornell","Eric A.","3","1961-12-19","2001","39","Palo Alto, CA","0000-00-00","true","physics","USA","male","US","Boulder, CO","University of Colorado, JILA","USA"
"Carl E. Wieman","for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates","Wieman","Carl E.","3","1951-03-26","2001","49","Corvallis, OR","0000-00-00","true","physics","USA","male","US","Boulder, CO","University of Colorado, JILA","USA"
"John B. Fenn","for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules","Fenn","John B.","4","1917-06-15","2002","84","New York, NY","2010-12-10","false","chemistry","USA","male","US","Richmond, VA","Virginia Commonwealth University","USA"
"Kurt Wüthrich","for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution","Wüthrich","Kurt","2","1938-10-04","2002","63","Aarberg","0000-00-00","true","chemistry","Switzerland","male","CH","Zurich","Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology)","Switzerland"
"Koichi Tanaka","for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules","Tanaka","Koichi","4","1959-08-03","2002","42","Toyama City","0000-00-00","true","chemistry","Japan","male","JP","Kyoto","Shimadzu Corp.","Japan"
"Vernon L. Smith","for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms","Smith","Vernon L.","2","1927-01-01","2002","75","Wichita, KS","0000-00-00","true","economics","USA","male","US","Fairfax, VA","George Mason University","USA"
"Daniel Kahneman","for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty","Kahneman","Daniel","2","1934-03-05","2002","67","Tel Aviv","0000-00-00","true","economics","British Mandate of Palestine (now Israel)","male","IL","Princeton, NJ","Princeton University","USA"
"Imre Kertész","for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history","Kertész","Imre","1","1929-11-09","2002","72","Budapest","0000-00-00","true","literature","Hungary","male","HU","","none",""
"Sydney Brenner","for their discoveries concerning genetic regulation of organ development and programmed cell death'","Brenner","Sydney","3","1927-01-13","2002","74","Germiston","0000-00-00","true","medicine","South Africa","male","ZA","Berkeley, CA","The Molecular Sciences Institute","USA"
"John E. Sulston","for their discoveries concerning genetic regulation of organ development and programmed cell death'","Sulston","John E.","3","1942-03-27","2002","59","Cambridge","0000-00-00","true","medicine","United Kingdom","male","GB","Cambridge","The Wellcome Trust Sanger Institute","United Kingdom"
"H. Robert Horvitz","for their discoveries concerning genetic regulation of organ development and programmed cell death'","Horvitz","H. Robert","3","1947-05-08","2002","54","Chicago, IL","0000-00-00","true","medicine","USA","male","US","Cambridge, MA","MIT","USA"
"Jimmy Carter","for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development","Carter","Jimmy","1","1924-10-01","2002","77","Plains, GA","0000-00-00","true","peace","USA","male","US","","none",""
"Raymond Davis Jr.","for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos","Davis Jr.","Raymond","4","1914-10-14","2002","87","Washington, DC","2006-05-31","false","physics","USA","male","US","Philadelphia, PA","University of Pennsylvania","USA"
"Masatoshi Koshiba","for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos","Koshiba","Masatoshi","4","1926-09-19","2002","75","Toyohashi","0000-00-00","true","physics","Japan","male","JP","Tokyo","University of Tokyo","Japan"
"Riccardo Giacconi","for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources","Giacconi","Riccardo","2","1931-10-06","2002","70","Genoa","0000-00-00","true","physics","Italy","male","IT","Washington, DC","Associated Universities Inc.","USA"
"Peter Agre","for the discovery of water channels","Agre","Peter","2","1949-01-30","2003","53","Northfield, MN","0000-00-00","true","chemistry","USA","male","US","Baltimore, MD","Johns Hopkins University School of Medicine","USA"
"Roderick MacKinnon","for structural and mechanistic studies of ion channels","MacKinnon","Roderick","2","1956-02-19","2003","46","Burlington, MA","0000-00-00","true","chemistry","USA","male","US","","Howard Hughes Medical Institute",""
"Robert F. Engle III","for methods of analyzing economic time series with time-varying volatility (ARCH)","Engle III","Robert F.","2","1942-11-10","2003","60","Syracuse, NY","0000-00-00","true","economics","USA","male","US","New York, NY","New York University","USA"
"Clive W.J. Granger","for methods of analyzing economic time series with common trends (cointegration)","Granger","Clive W.J.","2","1934-09-04","2003","68","Swansea","2009-05-27","false","economics","United Kingdom","male","GB","San Diego, CA","University of California","USA"
"John M. Coetzee","who in innumerable guises portrays the surprising involvement of the outsider","Coetzee","John M.","1","1940-02-09","2003","62","Cape Town","0000-00-00","true","literature","South Africa","male","ZA","","none",""
"Sir Peter Mansfield","for their discoveries concerning magnetic resonance imaging","Mansfield","Sir Peter","2","1933-10-09","2003","69","London","0000-00-00","true","medicine","United Kingdom","male","GB","Nottingham","University of Nottingham, School of Physics and Astronomy","United Kingdom"
"Paul C. Lauterbur","for their discoveries concerning magnetic resonance imaging","Lauterbur","Paul C.","2","1929-05-06","2003","73","Sidney, OH","2007-03-27","false","medicine","USA","male","US","Urbana, IL","University of Illinois","USA"
"Shirin Ebadi","for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children","Ebadi","Shirin","1","1947-06-21","2003","55","Hamadan","0000-00-00","true","peace","Iran","female","IR","","none",""
"Alexei A. Abrikosov","for pioneering contributions to the theory of superconductors and superfluids","Abrikosov","Alexei A.","3","1928-06-25","2003","74","Moscow","0000-00-00","true","physics","USSR (now Russia)","male","RU","Argonne, IL","Argonne National Laboratory","USA"
"Vitaly L. Ginzburg","for pioneering contributions to the theory of superconductors and superfluids","Ginzburg","Vitaly L.","3","1916-10-04","2003","86","Moscow","2009-11-08","false","physics","Russia","male","RU","Moscow","P.N. Lebedev Physical Institute","Russia"
"Anthony J. Leggett","for pioneering contributions to the theory of superconductors and superfluids","Leggett","Anthony J.","3","1938-03-26","2003","64","London","0000-00-00","true","physics","United Kingdom","male","GB","Urbana, IL","University of Illinois","USA"
"Aaron Ciechanover","for the discovery of ubiquitin-mediated protein degradation","Ciechanover","Aaron","3","1947-10-01","2004","56","Haifa","0000-00-00","true","chemistry","British Protectorate of Palestine (now Israel)","male","IL","Haifa","Technion - Israel Institute of Technology","Israel"
"Avram Hershko","for the discovery of ubiquitin-mediated protein degradation","Hershko","Avram","3","1937-12-31","2004","66","Karcag","0000-00-00","true","chemistry","Hungary","male","HU","Haifa","Technion - Israel Institute of Technology","Israel"
"Irwin Rose","for the discovery of ubiquitin-mediated protein degradation","Rose","Irwin","3","1926-07-16","2004","77","Brooklyn, NY","2015-06-03","false","chemistry","USA","male","US","Irvine, CA","University of California","USA"
"Finn E. Kydland","for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles","Kydland","Finn E.","2","1943-12-01","2004","60","Gjesdal","0000-00-00","true","economics","Norway","male","NO","Pittsburgh, PA","Carnegie Mellon University","USA"
"Edward C. Prescott","for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles","Prescott","Edward C.","2","1940-12-26","2004","63","Glens Falls, NY","0000-00-00","true","economics","USA","male","US","Minneapolis, MN","Federal Reserve Bank of Minneapolis","USA"
"Elfriede Jelinek","for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power","Jelinek","Elfriede","1","1946-10-20","2004","57","Mürzzuschlag","0000-00-00","true","literature","Austria","female","AT","","none",""
"Linda B. Buck","for their discoveries of odorant receptors and the organization of the olfactory system","Buck","Linda B.","2","1947-01-29","2004","56","Seattle, WA","0000-00-00","true","medicine","USA","female","US","Seattle, WA","Fred Hutchinson Cancer Research Center","USA"
"Richard Axel","for their discoveries of odorant receptors and the organization of the olfactory system","Axel","Richard","2","1946-07-02","2004","57","New York, NY","0000-00-00","true","medicine","USA","male","US","New York, NY","Columbia","USA"
"Wangari Muta Maathai","for her contribution to sustainable development, democracy and peace","Maathai","Wangari Muta","1","1940-04-01","2004","63","Nyeri","2011-09-25","false","peace","Kenya","female","KE","","none",""
"Frank Wilczek","for the discovery of asymptotic freedom in the theory of the strong interaction","Wilczek","Frank","3","1951-05-15","2004","52","New York, NY","0000-00-00","true","physics","USA","male","US","Cambridge, MA","MIT","USA"
"David J. Gross","for the discovery of asymptotic freedom in the theory of the strong interaction","Gross","David J.","3","1941-02-19","2004","62","Washington, DC","0000-00-00","true","physics","USA","male","US","Santa Barbara, CA","University of California","USA"
"H. David Politzer","for the discovery of asymptotic freedom in the theory of the strong interaction","Politzer","H. David","3","1949-08-31","2004","54","New York, NY","0000-00-00","true","physics","USA","male","US","Pasadena, CA","Caltech","USA"
"Richard R. Schrock","for the development of the metathesis method in organic synthesis","Schrock","Richard R.","3","1945-01-04","2005","59","Berne, IN","0000-00-00","true","chemistry","USA","male","US","Cambridge, MA","MIT","USA"
"Robert H. Grubbs","for the development of the metathesis method in organic synthesis","Grubbs","Robert H.","3","1942-02-27","2005","62","Possum Trot, KY","0000-00-00","true","chemistry","USA","male","US","Pasadena, CA","Caltech","USA"
"Yves Chauvin","for the development of the metathesis method in organic synthesis","Chauvin","Yves","3","1930-10-10","2005","74","Menin","2015-01-27","false","chemistry","Belgium","male","BE","Rueil-Malmaison","Institut Français du Pétrole","France"
"Thomas C. Schelling","for having enhanced our understanding of conflict and cooperation through game-theory analysis","Schelling","Thomas C.","2","1921-04-14","2005","83","Oakland, CA","0000-00-00","true","economics","USA","male","US","College Park, MD","University of Maryland, Department of Economics and School of Public Policy","USA"
"Robert J. Aumann","for having enhanced our understanding of conflict and cooperation through game-theory analysis","Aumann","Robert J.","2","1930-06-08","2005","74","Frankfurt-on-the-Main","0000-00-00","true","economics","Germany","male","DE","Jerusalem","University of Jerusalem, Center for RationalityHebrew","Israel"
"Harold Pinter","who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms","Pinter","Harold","1","1930-10-10","2005","74","London","2008-12-24","false","literature","United Kingdom","male","GB","","none",""
"J. Robin Warren","for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease","Warren","J. Robin","2","1937-06-11","2005","67","Adelaide","0000-00-00","true","medicine","Australia","male","AU","Perth","none","Australia"
"Barry J. Marshall","for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease","Marshall","Barry J.","2","1951-09-30","2005","53","Kalgoorlie","0000-00-00","true","medicine","Australia","male","AU","Nedlands","NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre","Australia"
"Mohamed ElBaradei","for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way","ElBaradei","Mohamed","2","1942-06-17","2005","62","Cairo","0000-00-00","true","peace","Egypt","male","EG","","none",""
"Theodor W. Hänsch","for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique","Hänsch","Theodor W.","4","1941-10-30","2005","63","Heidelberg","0000-00-00","true","physics","Germany","male","DE","Garching","Max-Planck-Institut für Quantenoptik","Germany"
"Roy J. Glauber","for his contribution to the quantum theory of optical coherence","Glauber","Roy J.","2","1925-09-01","2005","79","New York, NY","0000-00-00","true","physics","USA","male","US","Cambridge, MA","Harvard","USA"
"John L. Hall","for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique","Hall","John L.","4","1934-08-21","2005","70","Denver, CO","0000-00-00","true","physics","USA","male","US","Boulder, CO","National Institute of Standards and Technology","USA"
"Roger D. Kornberg","for his studies of the molecular basis of eukaryotic transcription","Kornberg","Roger D.","1","1947-04-24","2006","58","St. Louis, MO","0000-00-00","true","chemistry","USA","male","US","Stanford, CA","Stanford","USA"
"Edmund S. Phelps","for his analysis of intertemporal tradeoffs in macroeconomic policy","Phelps","Edmund S.","1","1933-07-26","2006","72","Evanston, IL","0000-00-00","true","economics","USA","male","US","New York, NY","Columbia","USA"
"Orhan Pamuk","who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures","Pamuk","Orhan","1","1952-06-07","2006","53","Istanbul","0000-00-00","true","literature","Turkey","male","TR","","none",""
"Andrew Z. Fire","for their discovery of RNA interference - gene silencing by double-stranded RNA","Fire","Andrew Z.","2","1959-04-27","2006","46","Stanford, CA","0000-00-00","true","medicine","USA","male","US","Stanford, CA","Stanford","USA"
"Craig C. Mello","for their discovery of RNA interference - gene silencing by double-stranded RNA","Mello","Craig C.","2","1960-10-19","2006","45","New Haven, CT","0000-00-00","true","medicine","USA","male","US","Worcester, MA","University of Massachusetts Medical School","USA"
"Muhammad Yunus","for their efforts to create economic and social development from below","Yunus","Muhammad","2","1940-06-28","2006","65","Chittagong","0000-00-00","true","peace","British India (now Bangladesh)","male","BD","","none",""
"George F. Smoot","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation","Smoot","George F.","2","1945-02-20","2006","60","Yukon, FL","0000-00-00","true","physics","USA","male","US","Berkeley, CA","University of California","USA"
"John C. Mather","for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation","Mather","John C.","2","1946-08-07","2006","59","Roanoke, VA","0000-00-00","true","physics","USA","male","US","Greenbelt, MD","NASA Goddard Space Flight Center","USA"
"Gerhard Ertl","for his studies of chemical processes on solid surfaces","Ertl","Gerhard","1","1936-10-10","2007","70","Bad Cannstatt","0000-00-00","true","chemistry","Germany","male","DE","Berlin","Fritz-Haber-Institut der Max-Planck-Gesellschaft","Germany"
"Eric S. Maskin","for having laid the foundations of mechanism design theory","Maskin","Eric S.","3","1950-12-12","2007","56","New York, NY","0000-00-00","true","economics","USA","male","US","Princeton, NJ","Institute for Advanced Study","USA"
"Roger B. Myerson","for having laid the foundations of mechanism design theory","Myerson","Roger B.","3","1951-03-29","2007","55","Boston, MA","0000-00-00","true","economics","USA","male","US","Chicago, IL","University of Chicago","USA"
"Leonid Hurwicz","for having laid the foundations of mechanism design theory","Hurwicz","Leonid","3","1917-08-21","2007","89","Moscow","2008-06-24","false","economics","Russia","male","RU","Minneapolis, MN","University of Minnesota","USA"
"Doris Lessing","that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny","Lessing","Doris","1","1919-10-22","2007","87","Kermanshah","2013-11-17","false","literature","Persia (now Iran)","female","IR","","none",""
"Mario R. Capecchi","for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells","Capecchi","Mario R.","3","1937-10-06","2007","69","Verona","0000-00-00","true","medicine","Italy","male","IT","","Howard Hughes Medical Institute",""
"Oliver Smithies","for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells","Smithies","Oliver","3","1925-06-23","2007","81","Halifax","0000-00-00","true","medicine","United Kingdom","male","GB","Chapel Hill, NC","University of North Carolina","USA"
"Sir Martin J. Evans","for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells","Evans","Sir Martin J.","3","1941-01-01","2007","66","Stroud","0000-00-00","true","medicine","United Kingdom","male","GB","Cardiff","Cardiff University","United Kingdom"
"Albert Arnold (Al) Gore Jr.","for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change","Gore Jr.","Albert Arnold (Al)","2","1948-03-31","2007","58","Washington, DC","0000-00-00","true","peace","USA","male","US","","none",""
"Peter Grünberg","for the discovery of Giant Magnetoresistance","Grünberg","Peter","2","1939-05-18","2007","67","Plzen","0000-00-00","true","physics","Czechoslovakia (now Czech Republic)","male","CZ","J&uuml;lich","Forschungszentrum J&uuml;lich","Germany"
"Albert Fert","for the discovery of Giant Magnetoresistance","Fert","Albert","2","1938-03-07","2007","68","Carcassonne","0000-00-00","true","physics","France","male","FR","Orsay","Unit&eacute; Mixte de Physique CNRS/THALES","France"
